decoded_feature,chosen_task,reward_cond,decoded_fval_low,decoded_fval_high,fixed_fval,acc_t0,acc_t10,acc_t20,acc_t30,acc_t40,acc_t50
SL,SF,aR,2.3,2.9,2.5,0.8240000000000001,0.755,0.6639999999999999,0.617,0.5800000000000001,0.517
SL,SF,aR,2.3,2.9,2.6,0.8140000000000001,0.772,0.6910000000000001,0.606,0.5720000000000001,0.565
SL,SF,aR,2.3,2.9,2.7,0.83,0.769,0.698,0.5880000000000001,0.552,0.5369999999999999
SL,SF,aR,2.3,2.9,2.8,0.831,0.753,0.6779999999999999,0.636,0.589,0.573
SL,SF,aR,2.3,2.9,2.9,0.823,0.77,0.6839999999999999,0.609,0.571,0.542
SL,SF,aNR,2.1,2.7,2.1,0.8260000000000001,0.791,0.782,0.706,0.6599999999999999,0.628
SL,SF,aNR,2.1,2.7,2.2,0.835,0.778,0.73,0.6619999999999999,0.642,0.596
SL,SF,aNR,2.1,2.7,2.3,0.837,0.8180000000000001,0.766,0.6990000000000001,0.652,0.601
SL,SF,aNR,2.1,2.7,2.4,0.842,0.804,0.78,0.7110000000000001,0.6639999999999999,0.621
SL,SF,aNR,2.1,2.7,2.5,0.8109999999999999,0.781,0.746,0.6759999999999999,0.602,0.583
SL,SF,aNR,2.1,2.7,2.6,0.844,0.8200000000000001,0.779,0.712,0.63,0.597
SL,SF,aNR,2.1,2.7,2.7,0.83,0.806,0.747,0.6719999999999999,0.637,0.596
SL,SF,aNR,2.1,2.7,2.8,0.838,0.796,0.758,0.667,0.607,0.565
SL,SF,aNR,2.1,2.7,2.9,0.8220000000000001,0.8009999999999999,0.754,0.6890000000000001,0.648,0.595
SL,SF,aNR,2.2,2.8,2.1,0.834,0.785,0.739,0.692,0.639,0.625
SL,SF,aNR,2.2,2.8,2.2,0.825,0.795,0.766,0.716,0.638,0.589
SL,SF,aNR,2.2,2.8,2.3,0.8160000000000001,0.786,0.74,0.685,0.639,0.608
SL,SF,aNR,2.2,2.8,2.4,0.827,0.796,0.746,0.6970000000000001,0.663,0.598
SL,SF,aNR,2.2,2.8,2.5,0.825,0.7989999999999999,0.738,0.69,0.638,0.579
SL,SF,aNR,2.2,2.8,2.6,0.825,0.81,0.776,0.724,0.624,0.612
SL,SF,aNR,2.2,2.8,2.7,0.843,0.8,0.783,0.702,0.655,0.613
SL,SF,aNR,2.2,2.8,2.8,0.8260000000000001,0.8089999999999999,0.758,0.7050000000000001,0.625,0.5880000000000001
SL,SF,aNR,2.2,2.8,2.9,0.842,0.817,0.768,0.685,0.6639999999999999,0.611
SL,SF,aNR,2.3,2.9,2.1,0.84,0.8089999999999999,0.762,0.681,0.628,0.606
SL,SF,aNR,2.3,2.9,2.2,0.838,0.792,0.76,0.6930000000000001,0.649,0.626
SL,SF,aNR,2.3,2.9,2.3,0.827,0.791,0.744,0.654,0.617,0.597
SL,SF,aNR,2.3,2.9,2.4,0.848,0.7989999999999999,0.773,0.7130000000000001,0.651,0.616
SL,SF,aNR,2.3,2.9,2.5,0.8220000000000001,0.782,0.744,0.7,0.63,0.5609999999999999
SL,SF,aNR,2.3,2.9,2.6,0.833,0.8,0.758,0.724,0.647,0.612
SL,SF,aNR,2.3,2.9,2.7,0.821,0.792,0.752,0.675,0.635,0.603
SL,SF,aNR,2.3,2.9,2.8,0.833,0.792,0.761,0.681,0.62,0.571
SL,SF,aNR,2.3,2.9,2.9,0.835,0.8089999999999999,0.783,0.7050000000000001,0.644,0.603
SF,SF,aR,2.1,2.7,2.1,0.848,0.843,0.83,0.835,0.831,0.81
SF,SF,aR,2.1,2.7,2.2,0.837,0.827,0.8280000000000001,0.829,0.827,0.8029999999999999
SF,SF,aR,2.1,2.7,2.3,0.843,0.834,0.829,0.833,0.827,0.8049999999999999
SF,SF,aR,2.1,2.7,2.4,0.841,0.8240000000000001,0.8240000000000001,0.817,0.8160000000000001,0.795
SF,SF,aR,2.1,2.7,2.5,0.857,0.847,0.839,0.841,0.832,0.8069999999999999
SF,SF,aR,2.1,2.7,2.6,0.831,0.8220000000000001,0.8200000000000001,0.813,0.815,0.796
SF,SF,aR,2.1,2.7,2.7,0.852,0.848,0.852,0.85,0.837,0.8200000000000001
