stim1 decoder,stim1 low,stim1 high,opp1,chosen task,reward cond,accuracy t0,accuracy t15,accuracy t30,accuracy t45
SL,2.3,2.9,2.1,SF,aNR,0.825,0.785,0.6699999999999999,0.62
SL,2.3,2.9,2.2,SL,aNR,0.853,0.835,0.798,0.774
SL,2.3,2.9,2.2,SF,aNR,0.859,0.791,0.71,0.636
SL,2.3,2.9,2.3,SL,aNR,0.8220000000000001,0.8220000000000001,0.793,0.771
SL,2.3,2.9,2.3,SF,aNR,0.8240000000000001,0.765,0.6890000000000001,0.605
SL,2.3,2.9,2.4,SL,aNR,0.846,0.821,0.7969999999999999,0.79
SL,2.3,2.9,2.4,SF,aNR,0.812,0.771,0.6970000000000001,0.622
SL,2.3,2.9,2.5,SL,aNR,0.815,0.802,0.769,0.765
SL,2.3,2.9,2.5,SF,aNR,0.841,0.79,0.683,0.605
SL,2.3,2.9,2.6,SL,aNR,0.827,0.808,0.788,0.782
SL,2.3,2.9,2.6,SF,aNR,0.833,0.793,0.725,0.641
SL,2.3,2.9,2.7,SL,aNR,0.839,0.802,0.795,0.767
SL,2.3,2.9,2.7,SF,aNR,0.84,0.796,0.7010000000000001,0.631
SL,2.3,2.9,2.8,SL,aNR,0.841,0.8260000000000001,0.788,0.785
SL,2.3,2.9,2.8,SF,aNR,0.821,0.772,0.688,0.62
SL,2.3,2.9,2.9,SL,aNR,0.832,0.8069999999999999,0.769,0.746
SL,2.3,2.9,2.9,SF,aNR,0.827,0.756,0.692,0.617
